ID,Raza,Energía,Estado,Resistente
A1466,Espiroquetas,41,Viva,No
A1478,Espiroquetas,50,Viva,No
A4725,Espiroquetas,0,Muerta,No
A4725_hija,Espiroquetas,47,Viva,Si
A1466_hija,Espiroquetas,52,Viva,No
A1478_hija,Espiroquetas,0,Muerta,No
A4725_hija_hija,Espiroquetas,73,Viva,Si
A1466_hija,Espiroquetas,71,Viva,No
A4725_hija_hija,Espiroquetas,58,Viva,Si
A1466_hija_hija,Espiroquetas,79,Viva,No
A1478_hija,Espiroquetas,49,Viva,No
A1466_hija_hija,Espiroquetas,63,Viva,No
A4725_hija_hija_hija,Espiroquetas,71,Viva,Si
A1466_hija_hija,Espiroquetas,56,Viva,No
A1466_hija_hija_hija,Espiroquetas,43,Viva,No
A1466_hija,Espiroquetas,47,Viva,No
A1466_hija_hija,Espiroquetas,67,Viva,No
A4725_hija_hija_hija,Espiroquetas,45,Viva,Si
A1466_hija_hija_hija,Espiroquetas,43,Viva,No
A1466_hija_hija_hija,Espiroquetas,48,Viva,No
A4725_hija_hija_hija_hija,Espiroquetas,79,Viva,Si
A1466_hija_hija_hija,Espiroquetas,0,Muerta,No
A1466_hija_hija_hija_hija,Espiroquetas,42,Viva,No
A1466_hija,Espiroquetas,65,Viva,Si
A1478_hija,Espiroquetas,48,Viva,No
A4725_hija_hija_hija,Espiroquetas,62,Viva,Si
A1466_hija_hija,Espiroquetas,40,Viva,No
A4725_hija_hija_hija,Espiroquetas,52,Viva,Si
A1478_hija_hija,Espiroquetas,72,Viva,No
A1466_hija_hija,Espiroquetas,71,Viva,Si
A1466_hija_hija_hija_hija,Espiroquetas,47,Viva,No
A4725_hija_hija_hija_hija_hija,Espiroquetas,67,Viva,Si
A1466_hija_hija,Espiroquetas,45,Viva,No
A1466_hija_hija_hija,Espiroquetas,0,Muerta,No
A1466_hija_hija_hija,Espiroquetas,60,Viva,No
A4725_hija_hija_hija_hija,Espiroquetas,44,Viva,Si
A1466_hija_hija_hija_hija,Espiroquetas,48,Viva,No
A1478_hija_hija,Espiroquetas,47,Viva,No
A1478_hija_hija_hija,Espiroquetas,49,Viva,No
A4725_hija_hija_hija_hija_hija_hija,Espiroquetas,75,Viva,Si
A4725_hija_hija_hija,Espiroquetas,58,Viva,Si
A1466_hija_hija_hija,Espiroquetas,47,Viva,No
A4725_hija_hija_hija_hija_hija,Espiroquetas,75,Viva,Si
A1466_hija_hija_hija_hija_hija,Espiroquetas,64,Viva,Si
A1466_hija_hija,Espiroquetas,79,Viva,Si
A1466_hija_hija_hija,Espiroquetas,60,Viva,No
A4725_hija_hija_hija_hija,Espiroquetas,68,Viva,Si
A1466_hija_hija_hija,Espiroquetas,46,Viva,Si
A1478_hija_hija_hija,Espiroquetas,72,Viva,No
A1466_hija_hija_hija,Espiroquetas,47,Viva,No
A1466_hija_hija_hija_hija_hija,Espiroquetas,41,Viva,No
A1478_hija_hija_hija_hija,Espiroquetas,40,Viva,No
A4725_hija_hija_hija_hija_hija_hija_hija,Espiroquetas,50,Viva,Si
A4725_hija_hija_hija_hija_hija_hija,Espiroquetas,50,Viva,Si
A1466_hija_hija_hija_hija_hija_hija,Espiroquetas,78,Viva,Si
A1466_hija_hija_hija_hija,Espiroquetas,78,Viva,No
A1466_hija_hija_hija_hija,Espiroquetas,40,Viva,Si
A1466_hija_hija_hija_hija,Espiroquetas,47,Viva,No
A1466_hija_hija_hija_hija,Espiroquetas,46,Viva,Si
A1466_hija_hija_hija_hija,Espiroquetas,47,Viva,No
A1466_hija_hija_hija_hija_hija_hija,Espiroquetas,41,Viva,No
A1478_hija_hija_hija_hija_hija,Espiroquetas,40,Viva,No
A4725_hija_hija_hija_hija_hija_hija_hija_hija,Espiroquetas,50,Viva,Si
A4725_hija_hija_hija_hija_hija_hija_hija,Espiroquetas,50,Viva,Si
A1466_hija_hija_hija_hija_hija,Espiroquetas,40,Viva,Si
